query-id	corpus-id	score
HUMA_2_001	HUMA1678_ch1_3	1
HUMA_2_002	HUMA1678_ch1_4	1
HUMA_2_003	HUMA1678_ch2_3	1
HUMA_2_004	HUMA1678_ch2_4	1
HUMA_2_005	HUMA1678_ch3_3	1
HUMA_2_006	HUMA1678_ch3_4	1
HUMA_2_007	HUMA1678_ch4_3	1
HUMA_2_008	HUMA1678_ch4_4	1
HUMA_2_009	HUMA1678_ch5_3	1
HUMA_2_010	HUMA1678_ch5_4	1
HUMA_2_011	HUMA1678_ch6_3	1
HUMA_2_012	HUMA1678_ch6_4	1
HUMA_2_013	HUMA1678_ch7_3	1
HUMA_2_014	HUMA1678_ch7_4	1
HUMA_2_015	HUMA1678_ch8_3	1
HUMA_2_016	HUMA1678_ch8_4	1
HUMA_2_017	HUMA1678_ch9_3	1
HUMA_2_018	HUMA1678_ch9_4	1
HUMA_2_019	HUMA1678_ch10_3	1
HUMA_2_020	HUMA1678_ch10_4	1
HUMA_2_021	HUMA1678_ch11_3	1
HUMA_2_022	HUMA1678_ch11_4	1
HUMA_2_023	HUMA1678_ch12_3	1
HUMA_2_024	HUMA1678_ch12_4	1
HUMA_2_025	HUMA1678_ch1_3	1
HUMA_2_027	HUMA1678_ch1_3	1
HUMA_2_029	HUMA1678_ch1_3	1
HUMA_2_031	HUMA1678_ch1_3	1
