query-id	corpus-id	score
ECON_5_02	ECON1220_ch7_48	1
ECON_5_04	ECON1220_ch7_21	1
ECON_5_04	ECON1220_ch7_9	1
ECON_5_06	ECON1220_ch7_42	1
ECON_5_08	ECON1220_ch7_13	1
ECON_5_08	ECON1220_ch7_14	1
ECON_5_09	ECON1220_ch7_25	1
ECON_5_10	ECON1220_ch7_52	1
ECON_5_11	ECON1220_ch7_53	1
ECON_5_12	ECON1220_ch7_61	1
ECON_5_12	ECON1220_ch7_62	1
ECON_5_13	ECON1220_ch7_69	1
ECON_5_14	ECON1220_ch1_40	1
ECON_5_15	ECON1220_ch1_12	1
ECON_5_15	ECON1220_ch1_14	1
ECON_5_16	ECON1220_ch4_38	1
ECON_5_16	ECON1220_ch4_41	1
ECON_5_17	ECON1220_ch7_9	1
ECON_5_17	ECON1220_ch7_12	1
ECON_5_18	ECON1220_ch7_56	1
ECON_5_19	ECON1220_ch7_75	1
ECON_5_19	ECON1220_ch7_76	1
ECON_5_20	ECON1220_ch7_66	1
ECON_5_20	ECON1220_ch7_72	1
ECON_5_21	ECON1220_ch1_1	1
ECON_5_22	ECON1220_ch1_25	1
ECON_5_23	ECON1220_ch1_49	1
ECON_5_24	ECON1220_ch2_1	1
ECON_5_25	ECON1220_ch2_13	1
ECON_5_26	ECON1220_ch2_25	1
ECON_5_27	ECON1220_ch3_1	1
ECON_5_28	ECON1220_ch3_34	1
ECON_5_29	ECON1220_ch3_66	1
ECON_5_30	ECON1220_ch4_1	1
ECON_5_31	ECON1220_ch4_46	1
ECON_5_32	ECON1220_ch4_90	1
ECON_5_33	ECON1220_ch5_1	1
ECON_5_34	ECON1220_ch5_26	1
ECON_5_35	ECON1220_ch5_51	1
ECON_5_36	ECON1220_ch6_1	1
ECON_5_37	ECON1220_ch6_13	1
ECON_5_38	ECON1220_ch6_25	1
ECON_5_39	ECON1220_ch7_1	1
ECON_5_40	ECON1220_ch7_39	1
ECON_5_41	ECON1220_ch7_76	1
ECON_5_42	ECON1220_ch8_1	1
ECON_5_43	ECON1220_ch8_36	1
ECON_5_44	ECON1220_ch8_71	1
ECON_5_45	ECON1220_ch9_1	1
ECON_5_46	ECON1220_ch9_22	1
ECON_5_47	ECON1220_ch9_42	1
ECON_5_48	ECON1220_ch10_1	1
ECON_5_49	ECON1220_ch10_25	1
ECON_5_50	ECON1220_ch10_48	1
ECON_5_51	ECON1220_ch11_1	1
ECON_5_52	ECON1220_ch11_32	1
ECON_5_53	ECON1220_ch11_63	1
