query-id	corpus-id	score
COMP_5_015	COMP2011_ch1_1	1
COMP_5_016	COMP2011_ch1_10	1
COMP_5_017	COMP2011_ch1_19	1
COMP_5_018	COMP2011_ch1_29	1
COMP_5_019	COMP2011_ch1_38	1
COMP_5_020	COMP2011_ch2_1	1
COMP_5_021	COMP2011_ch2_8	1
COMP_5_022	COMP2011_ch2_15	1
COMP_5_023	COMP2011_ch2_23	1
COMP_5_024	COMP2011_ch2_30	1
COMP_5_025	COMP2011_ch3_1	1
COMP_5_026	COMP2011_ch3_8	1
COMP_5_027	COMP2011_ch3_15	1
COMP_5_028	COMP2011_ch3_21	1
COMP_5_029	COMP2011_ch3_28	1
COMP_5_030	COMP2011_ch4_1	1
COMP_5_031	COMP2011_ch4_7	1
COMP_5_032	COMP2011_ch4_14	1
COMP_5_033	COMP2011_ch4_21	1
COMP_5_034	COMP2011_ch4_27	1
COMP_5_035	COMP2011_ch5_1	1
COMP_5_036	COMP2011_ch5_4	1
COMP_5_037	COMP2011_ch5_7	1
COMP_5_038	COMP2011_ch5_11	1
COMP_5_039	COMP2011_ch5_14	1
COMP_5_040	COMP2011_ch6_1	1
COMP_5_041	COMP2011_ch6_12	1
COMP_5_042	COMP2011_ch6_23	1
COMP_5_043	COMP2011_ch6_34	1
COMP_5_044	COMP2011_ch6_45	1
COMP_5_045	COMP2011_ch7_1	1
COMP_5_046	COMP2011_ch7_11	1
COMP_5_047	COMP2011_ch7_21	1
COMP_5_048	COMP2011_ch7_32	1
COMP_5_049	COMP2011_ch7_42	1
COMP_5_050	COMP2011_ch8_1	1
COMP_5_051	COMP2011_ch8_9	1
COMP_5_052	COMP2011_ch8_17	1
COMP_5_053	COMP2011_ch8_25	1
COMP_5_054	COMP2011_ch8_33	1
COMP_5_055	COMP2011_ch9_1	1
COMP_5_056	COMP2011_ch9_3	1
COMP_5_057	COMP2011_ch9_6	1
COMP_5_058	COMP2011_ch9_9	1
COMP_5_059	COMP2011_ch9_11	1
COMP_5_060	COMP2011_ch10_1	1
COMP_5_061	COMP2011_ch10_6	1
COMP_5_062	COMP2011_ch10_11	1
COMP_5_063	COMP2011_ch10_16	1
COMP_5_064	COMP2011_ch10_21	1
COMP_5_065	COMP2011_ch11_1	1
COMP_5_066	COMP2011_ch11_6	1
COMP_5_067	COMP2011_ch11_11	1
COMP_5_068	COMP2011_ch11_16	1
COMP_5_069	COMP2011_ch11_21	1
COMP_5_070	COMP2011_ch12_1	1
COMP_5_071	COMP2011_ch12_27	1
COMP_5_072	COMP2011_ch12_54	1
COMP_5_073	COMP2011_ch12_81	1
COMP_5_074	COMP2011_ch12_107	1
COMP_5_075	COMP2011_ch13_1	1
COMP_5_076	COMP2011_ch13_12	1
COMP_5_077	COMP2011_ch13_23	1
COMP_5_078	COMP2011_ch13_33	1
COMP_5_079	COMP2011_ch13_44	1
COMP_5_080	COMP2011_ch14_1	1
COMP_5_081	COMP2011_ch14_5	1
COMP_5_082	COMP2011_ch14_9	1
COMP_5_083	COMP2011_ch14_13	1
COMP_5_084	COMP2011_ch14_17	1
COMP_5_085	COMP2011_ch15_1	1
COMP_5_086	COMP2011_ch15_5	1
COMP_5_087	COMP2011_ch15_9	1
COMP_5_088	COMP2011_ch15_14	1
COMP_5_089	COMP2011_ch15_18	1
COMP_5_090	COMP2011_ch16_1	1
COMP_5_091	COMP2011_ch16_3	1
COMP_5_092	COMP2011_ch16_6	1
COMP_5_093	COMP2011_ch16_9	1
COMP_5_094	COMP2011_ch16_11	1
COMP_5_095	COMP2011_ch17_1	1
COMP_5_096	COMP2011_ch17_6	1
COMP_5_097	COMP2011_ch17_11	1
COMP_5_098	COMP2011_ch17_15	1
COMP_5_099	COMP2011_ch17_20	1
COMP_5_100	COMP2011_ch18_1	1
COMP_5_101	COMP2011_ch18_4	1
COMP_5_102	COMP2011_ch18_7	1
COMP_5_103	COMP2011_ch18_9	1
COMP_5_104	COMP2011_ch18_12	1
COMP_5_105	COMP2012_ch1_1	1
COMP_5_106	COMP2012_ch1_13	1
COMP_5_107	COMP2012_ch1_25	1
COMP_5_108	COMP2012_ch1_36	1
COMP_5_109	COMP2012_ch1_48	1
COMP_5_110	COMP2012_ch2_1	1
COMP_5_111	COMP2012_ch2_17	1
COMP_5_112	COMP2012_ch2_32	1
COMP_5_113	COMP2012_ch2_47	1
COMP_5_114	COMP2012_ch2_63	1
COMP_5_115	COMP2012_ch3_1	1
COMP_5_116	COMP2012_ch3_27	1
COMP_5_117	COMP2012_ch3_54	1
COMP_5_118	COMP2012_ch3_81	1
COMP_5_119	COMP2012_ch3_107	1
COMP_5_120	COMP2012_ch4_1	1
COMP_5_121	COMP2012_ch4_20	1
COMP_5_122	COMP2012_ch4_39	1
COMP_5_123	COMP2012_ch4_58	1
COMP_5_124	COMP2012_ch4_77	1
COMP_5_125	COMP2012_ch5_1	1
COMP_5_126	COMP2012_ch5_5	1
COMP_5_127	COMP2012_ch5_8	1
COMP_5_128	COMP2012_ch5_11	1
COMP_5_129	COMP2012_ch5_15	1
COMP_5_130	COMP2012_ch6_1	1
COMP_5_131	COMP2012_ch6_13	1
COMP_5_132	COMP2012_ch6_24	1
COMP_5_133	COMP2012_ch6_35	1
COMP_5_134	COMP2012_ch6_47	1
COMP_5_135	COMP2012_ch7_1	1
COMP_5_136	COMP2012_ch7_9	1
COMP_5_137	COMP2012_ch7_17	1
COMP_5_138	COMP2012_ch7_25	1
COMP_5_139	COMP2012_ch7_33	1
COMP_5_140	COMP2012_ch8_1	1
COMP_5_141	COMP2012_ch8_9	1
COMP_5_142	COMP2012_ch8_18	1
COMP_5_143	COMP2012_ch8_27	1
COMP_5_144	COMP2012_ch8_35	1
COMP_5_145	COMP2012_ch9_1	1
COMP_5_146	COMP2012_ch9_5	1
COMP_5_147	COMP2012_ch9_10	1
COMP_5_148	COMP2012_ch9_15	1
COMP_5_149	COMP2012_ch9_19	1
COMP_5_150	COMP2012_ch10_1	1
COMP_5_151	COMP2012_ch10_4	1
COMP_5_152	COMP2012_ch10_7	1
COMP_5_153	COMP2012_ch10_10	1
COMP_5_154	COMP2012_ch10_13	1
COMP_5_155	COMP2012_ch11_1	1
COMP_5_156	COMP2012_ch11_6	1
COMP_5_157	COMP2012_ch11_11	1
COMP_5_158	COMP2012_ch11_17	1
COMP_5_159	COMP2012_ch11_22	1
COMP_5_160	COMP2012_ch12_1	1
COMP_5_161	COMP2012_ch12_16	1
COMP_5_162	COMP2012_ch12_31	1
COMP_5_163	COMP2012_ch12_45	1
COMP_5_164	COMP2012_ch12_60	1
