query-id	corpus-id	score
MATH_5_002	MATH3424_ch2_1	1
MATH_5_004	MATH3424_ch4_1	1
MATH_5_006	MATH3424_ch6_1	1
MATH_5_008	MATH3424_ch1_1	1
MATH_5_009	MATH3424_ch1_15	1
MATH_5_010	MATH3424_ch1_29	1
MATH_5_011	MATH3424_ch1_42	1
MATH_5_012	MATH3424_ch1_56	1
MATH_5_013	MATH3424_ch2_1	1
MATH_5_014	MATH3424_ch2_4	1
MATH_5_015	MATH3424_ch2_7	1
MATH_5_016	MATH3424_ch2_10	1
MATH_5_017	MATH3424_ch2_13	1
MATH_5_018	MATH3424_ch3_1	1
MATH_5_019	MATH3424_ch3_21	1
MATH_5_020	MATH3424_ch3_42	1
MATH_5_021	MATH3424_ch3_63	1
MATH_5_022	MATH3424_ch3_83	1
MATH_5_023	MATH3424_ch4_1	1
MATH_5_024	MATH3424_ch4_2	1
MATH_5_025	MATH3424_ch4_3	1
MATH_5_026	MATH3424_ch4_4	1
MATH_5_027	MATH3424_ch4_5	1
MATH_5_028	MATH3424_ch5_1	1
MATH_5_029	MATH3424_ch5_25	1
MATH_5_030	MATH3424_ch5_48	1
MATH_5_031	MATH3424_ch5_71	1
MATH_5_032	MATH3424_ch5_95	1
MATH_5_033	MATH3424_ch6_1	1
MATH_5_034	MATH3424_ch6_19	1
MATH_5_035	MATH3424_ch6_37	1
MATH_5_036	MATH3424_ch6_54	1
MATH_5_037	MATH3424_ch6_72	1
MATH_5_038	MATH3424_ch7_1	1
MATH_5_039	MATH3424_ch7_20	1
MATH_5_040	MATH3424_ch7_39	1
MATH_5_041	MATH3424_ch7_57	1
MATH_5_042	MATH3424_ch7_76	1
MATH_5_043	MATH3424_ch8_1	1
MATH_5_044	MATH3424_ch8_17	1
MATH_5_045	MATH3424_ch8_32	1
MATH_5_046	MATH3424_ch8_47	1
MATH_5_047	MATH3424_ch8_63	1
MATH_5_048	MATH3424_ch9_1	1
MATH_5_049	MATH3424_ch9_20	1
MATH_5_050	MATH3424_ch9_39	1
MATH_5_051	MATH3424_ch9_59	1
MATH_5_052	MATH3424_ch9_78	1
MATH_5_053	MATH3424_ch10_1	1
MATH_5_054	MATH3424_ch10_14	1
MATH_5_055	MATH3424_ch10_27	1
MATH_5_056	MATH3424_ch10_41	1
MATH_5_057	MATH3424_ch10_54	1
MATH_5_058	MATH3424_ch11_1	1
MATH_5_059	MATH3424_ch11_17	1
MATH_5_060	MATH3424_ch11_34	1
MATH_5_061	MATH3424_ch11_51	1
MATH_5_062	MATH3424_ch11_67	1
